Program,CatNo,L1,L2,L3,L4
Amazon Seller Support,Cat20,Positive Feedback,Appreciating Agent,Appreciating Resolution,Quick / Prompt Rep
Amazon Seller Support,Cat21,Positive Feedback,Appreciating Product & Service,Appreciating Product,Excellent Products
Amazon Seller Support,Cat24,Positive Feedback,Appreciating Product & Service,Appreciating Product,Good plans
Amazon Seller Support,Cat25,Positive Feedback,Appreciating Product & Service,Appreciating Product,Good Promotion / Offer
Amazon Seller Support,Cat26,Positive Feedback,Appreciating Product & Service,Appreciating Product,Good calling service
Amazon Seller Support,Cat27,Positive Feedback,Appreciating Product & Service,Appreciating Service,Customer Will Recommend Service
Amazon Seller Support,Cat28,Positive Feedback,Appreciating Product & Service,Appreciating Service,Excellent / Good service
Amazon Seller Support,Cat29,Positive Feedback,Appreciating Product & Service,Appreciating Website / App,Good Website
Amazon Seller Support,Cat30,Positive Feedback,Appreciating Product & Service,Appreciating Website / App,Nice APP
Amazon Seller Support,Cat31,Positive Feedback,Appreciating Product & Service,Appreciating Service,Professional service
Amazon Seller Support,Cat32,Positive Feedback,Appreciating Product & Service,Appreciating Service,Reliable Service
Amazon Seller Support,Cat33,Positive Feedback,Appreciating Product & Service,Appreciating Service,Timely service
Amazon Seller Support,Cat34,Agent Opportunity,Communication and Soft Skills,Communication problem,Communication problem
Amazon Seller Support,Cat35,Agent Opportunity,Communication and Soft Skills,Dead Air on call,Dead Air on call
Amazon Seller Support,Cat36,Agent Opportunity,Communication and Soft Skills,Excessive Talking by Rep,Excessive Talking by Rep
Amazon Seller Support,Cat37,Agent Opportunity,Communication and Soft Skills,Hard to Understand Rep,Hard to Understand Rep
Amazon Seller Support,Cat38,Agent Opportunity,Communication and Soft Skills,Language Barrier,Language Barrier
Amazon Seller Support,Cat39,Agent Opportunity,Communication and Soft Skills,Long Hold on Call / Chat,Long Hold on Call / Chat
Amazon Seller Support,Cat40,Agent Opportunity,Communication and Soft Skills,Multiple Holds,Multiple Holds
Amazon Seller Support,Cat41,Agent Opportunity,Communication and Soft Skills,No Assurance,No Assurance
Amazon Seller Support,Cat42,Agent Opportunity,Communication and Soft Skills,No empathy by Rep,No empathy by Rep
Amazon Seller Support,Cat43,Agent Opportunity,Communication and Soft Skills,No patience,No patience
Amazon Seller Support,Cat44,Agent Opportunity,Communication and Soft Skills,Pushy Sales,Pushy Sales
Amazon Seller Support,Cat45,Agent Opportunity,Communication and Soft Skills,Rate of Speech,Rate of Speech
Amazon Seller Support,Cat46,Agent Opportunity,Communication and Soft Skills,Rep Accent Issues,Rep Accent Issues
Amazon Seller Support,Cat47,Agent Opportunity,Communication and Soft Skills,Rep Could Not Explain,Rep Could Not Explain
Amazon Seller Support,Cat48,Agent Opportunity,Communication and Soft Skills,Rep Hung up the call,Rep Hung up the call
Amazon Seller Support,Cat49,Agent Opportunity,Communication and Soft Skills,Rep In Rush,Rep In Rush
Amazon Seller Support,Cat50,Agent Opportunity,Communication and Soft Skills,Rep Interrupting Customer,Rep Interrupting Customer
Amazon Seller Support,Cat51,Agent Opportunity,Communication and Soft Skills,Rep Laughing / Shout on call,Rep Laughing / Shout on call
Amazon Seller Support,Cat52,Agent Opportunity,Communication and Soft Skills,Rep Listening Issues,Rep Had Listening Issues
Amazon Seller Support,Cat53,Agent Opportunity,Communication and Soft Skills,Rep Mocking customer,Rep Mocked customer
Amazon Seller Support,Cat54,Agent Opportunity,Communication and Soft Skills,Rep not able to understand,Rep not able to understand
Amazon Seller Support,Cat55,Agent Opportunity,Communication and Soft Skills,Rep Pronunciation Issue,Rep Pronunciation Issue
Amazon Seller Support,Cat56,Agent Opportunity,Communication and Soft Skills,Rep Sound Robotic,Rep Sounded Robotic
Amazon Seller Support,Cat57,Agent Opportunity,Communication and Soft Skills,Rep Using Jargon,Rep Used Jargon
Amazon Seller Support,Cat58,Agent Opportunity,Communication and Soft Skills,Rep Yawning / Sleeping,Rep Yawning / Sleeping
Amazon Seller Support,Cat59,Agent Opportunity,Communication and Soft Skills,Voice tone issue,Voice tone issue
Amazon Seller Support,Cat60,Agent Opportunity,Communication and Soft Skills,Wrong Documentation by Rep,Wrong Documentation by Rep
Amazon Seller Support,Cat61,Agent Opportunity,Knowledge,Customer Not Getting Information,Customer Not Getting Information
Amazon Seller Support,Cat62,Agent Opportunity,Knowledge,Inconsistent information shared,Inconsistent information shared
Amazon Seller Support,Cat63,Agent Opportunity,Knowledge,Issue understanding,Rep didn't understand issue
Amazon Seller Support,Cat64,Agent Opportunity,Knowledge,Misleading Information,Rep provided misleading Information
Amazon Seller Support,Cat65,Agent Opportunity,Knowledge,No Customer Education,No Customer Education
Amazon Seller Support,Cat66,Agent Opportunity,Knowledge,Rep Asking Irrelevant Questions,Rep Asked Irrelevant Questions
Amazon Seller Support,Cat67,Agent Opportunity,Knowledge,Rep had No Knowledge,Rep had No Knowledge
Amazon Seller Support,Cat68,Agent Opportunity,Knowledge,Rep Need Training,Rep Need Training
Amazon Seller Support,Cat69,Agent Opportunity,Knowledge,Rep Provided Incomplete Explanation,Rep Provided Incomplete Explanation
Amazon Seller Support,Cat70,Agent Opportunity,Knowledge,Rep share wrong / incomplete information,Rep share wrong / incomplete information
Amazon Seller Support,Cat71,Agent Opportunity,Lack of Ownership,Call Back Issue,Need Call Back
Amazon Seller Support,Cat72,Agent Opportunity,Lack of Ownership,Call Back Issue,No Call Back
Amazon Seller Support,Cat73,Agent Opportunity,Lack of Ownership,Dishonest Rep,Dishonest Rep
Amazon Seller Support,Cat74,Agent Opportunity,Lack of Ownership,No Attention by Rep,No Attention by Rep
Amazon Seller Support,Cat75,Agent Opportunity,Lack of Ownership,No Follow-up,No Follow-up
Amazon Seller Support,Cat76,Agent Opportunity,Lack of Ownership,No Ownership by Rep,No Ownership by Rep
Amazon Seller Support,Cat77,Agent Opportunity,Lack of Ownership,Promised Not fulfilled,Promised Not fulfilled
Amazon Seller Support,Cat78,Agent Opportunity,Lack of Ownership,Rep Did Not Acknowledge,Rep Did Not Acknowledge
Amazon Seller Support,Cat79,Agent Opportunity,Lack of Ownership,Rep Not accommodating / Argumentive,Rep Not accommodating / Argumentive
Amazon Seller Support,Cat80,Agent Opportunity,Lack of Ownership,Rep Not Helpful,Rep Not Helpful
Amazon Seller Support,Cat81,Agent Opportunity,Lack of Ownership,Rep was not courteous,Rep was not courteous
Amazon Seller Support,Cat82,Agent Opportunity,Lack of Ownership,Rude - Rep,Rude - Rep
Amazon Seller Support,Cat83,Agent Opportunity,Lack of Ownership,Unprofessional - Rep,Unprofessional - Rep
Amazon Seller Support,Cat84,Agent Opportunity,Resolution,Call Transfer Issue,Call Transfer Issue
Amazon Seller Support,Cat85,Agent Opportunity,Resolution,Connected / Transfer to Wrong Department,Connected / Transfer to Wrong Department
Amazon Seller Support,Cat86,Agent Opportunity,Resolution,Customer directed to store / vendor / depart,Customer directed to store / vendor / depart
Amazon Seller Support,Cat87,Agent Opportunity,Resolution,Long Time to resolve,Long Time to Resolve
Amazon Seller Support,Cat88,Agent Opportunity,Resolution,Long Wait on Call / Chat,Long Wait on Call / Chat
Amazon Seller Support,Cat89,Agent Opportunity,Resolution,Multiple Interactions,Multiple Interactions
Amazon Seller Support,Cat90,Agent Opportunity,Resolution,No Solution / Issues - Not Resolved,No Solution / Issues - Not Resolved
Amazon Seller Support,Cat91,Agent Opportunity,Resolution,Not happy with Solution,Not happy with Solution
Amazon Seller Support,Cat92,Agent Opportunity,Resolution,Standard / Scripted Response by Rep,Standard / Scripted Response by Rep
Amazon Seller Support,Cat93,Call / Chat Connectivity,Audio Quality,Background Noise on Call,Background Noise on Call
Amazon Seller Support,Cat94,Call / Chat Connectivity,Audio Quality,Hearing Issue on call,Hearing Issue on call
Amazon Seller Support,Cat95,Call / Chat Connectivity,Audio Quality,Voice Breaking Issue,Voice Breaking Issue
Amazon Seller Support,Cat96,Call / Chat Connectivity,Call / Chat / Email Not Answered,Call / Chat / Email Not Answered,Call / Chat / Email Not Answered
Amazon Seller Support,Cat97,Call / Chat Connectivity,Call dropped,Call dropped,Call dropped
Amazon Seller Support,Cat98,Call / Chat Connectivity,Chat Disconnection,Chat Disconnection,Chat Disconnection
Amazon Seller Support,Cat99,Call / Chat Connectivity,Audio Quality,Audio Connection Issue,Audio Connection Issue
Amazon Seller Support,Cat100,Others,Customer,Customer self resolved issue,Customer self resolved issue
Amazon Seller Support,Cat101,Others,Customer,Impacting Client / Business,Impacting Client / Business
Amazon Seller Support,Cat102,Others,Customer,Incorrect Rating,Incorrect Rating
Amazon Seller Support,Cat103,Others,Issue with Previous Rep,Dissatisfied with Previous rep,Dissatisfied with Previous rep
Amazon Seller Support,Cat104,Others,Legal Issue,Customer will take legal action,Customer will take legal action
Amazon Seller Support,Cat105,Process,Account Management Issue,Account Access Issue,Account Access Issue
Amazon Seller Support,Cat106,Process,Account Management Issue,Account Cancellation Issue,Account Cancellation Issue
Amazon Seller Support,Cat107,Process,Account Management Issue,Account Suspended,Account Suspended
Amazon Seller Support,Cat108,Process,Account Management Issue,Address Change Related,Address Change Related
Amazon Seller Support,Cat109,Process,Account Management Issue,Application Related,Application Related
Amazon Seller Support,Cat110,Process,Account Management Issue,Password Issue,Password Issue
Amazon Seller Support,Cat111,Process,Billing Issue,Billing - Invoice Related Issue,Billing - Invoice Related Issue
Amazon Seller Support,Cat112,Process,Billing Issue,Charges Issue,Charges Issue
Amazon Seller Support,Cat113,Process,Billing Issue,Double Charged,Double Charged
Amazon Seller Support,Cat114,Process,Billing Issue,Duplicate Billing,Duplicate Billing
Amazon Seller Support,Cat115,Process,Billing Issue,Incorrect Fees / Charges,Incorrect Fees / Charges
Amazon Seller Support,Cat116,Process,Billing Issue,Late Fees,Late Fees
Amazon Seller Support,Cat117,Process,Cancelation Issue,Cancelling the Product / service,Cancelling the Product / service
Amazon Seller Support,Cat118,Process,Change Plan / Program,Change Plan / Program,Change Plan / Program
Amazon Seller Support,Cat119,Process,Dissatisfied with Process,Unfair Practices,Unfair Practices
Amazon Seller Support,Cat120,Process,Dissatisfied with Process,Unfriendly process,Unfriendly process
Amazon Seller Support,Cat121,Process,Improve Process,Want to Talk a Phone Rep,Want to Talk a Phone Rep
Amazon Seller Support,Cat122,Process,Issue with Survey,Issue with Survey,Issue with Survey
Amazon Seller Support,Cat123,Process,Issues for New Customers,Issues for New Customers,Issues for New Customers
Amazon Seller Support,Cat124,Process,Difficult to Contact Customer Care,Difficult to Contact Customer Care,No way / Hard to Contact Customer Care
Amazon Seller Support,Cat125,Process,Ongoing Issue,Ongoing Issue,Ongoing Issue
Amazon Seller Support,Cat126,Process,Order Issue,Order Cancellation,Order Cancellation
Amazon Seller Support,Cat127,Process,Order Issue,Order Delayed,Order Delayed
Amazon Seller Support,Cat128,Process,Order Issue,Order Related,Order Related
Amazon Seller Support,Cat129,Process,Order Issue,Pending Order,Pending Order
Amazon Seller Support,Cat130,Process,Payment Issue,Auto pay,Auto pay
Amazon Seller Support,Cat131,Process,Payment Issue,Payment History / Statement,Payment History / Statement
Amazon Seller Support,Cat132,Process,Payment Issue,Issue in making payment,Issue in making payment
Amazon Seller Support,Cat133,Process,Policy Issue,Improve / Change Policy,Improve / Change Policy
Amazon Seller Support,Cat134,Process,Policy Issue,Many Restrictions,Many Restrictions
Amazon Seller Support,Cat135,Process,Policy Issue,Not happy with Policy,Not happy with Policy
Amazon Seller Support,Cat136,Process,Policy Issue,Outsourcing Issues,Outsourcing Issues
Amazon Seller Support,Cat137,Process,Policy Issue,Policy Violation,Policy Violation
Amazon Seller Support,Cat138,Process,Policy Issue,Refund Policy Issue,Refund Policy Issue
Amazon Seller Support,Cat139,Process,Purchase issue,Purchase issue,Purchase issue
Amazon Seller Support,Cat140,Process,Refund,Delayed Refund,Delayed Refund
Amazon Seller Support,Cat141,Process,Refund,Need Refund,Need Refund
Amazon Seller Support,Cat142,Process,Refund,Refund Denied,Refund Denied
Amazon Seller Support,Cat143,Process,Renewal Issue,Renewal issue,Renewal issue
Amazon Seller Support,Cat144,Process,Scam / fraud Issue,Scam / fraud,Scam / fraud
Amazon Seller Support,Cat145,Process,Shipping - Delivery,Product Not received,Product Not received
Amazon Seller Support,Cat146,Process,Updates / Notification Issue,No Communication Received,No Communication Received
Amazon Seller Support,Cat147,Process,Updates / Notification Issue,Not received Email,Not received Email
Amazon Seller Support,Cat148,Process,Account Management Issue,Transferring Service,Transferring Service
Amazon Seller Support,Cat149,Products and Services,Privacy Issue,Privacy Issue,Privacy Issue
Amazon Seller Support,Cat150,Products and Services,Product Dissatisfaction,Dissatisfied with Product,Dissatisfied with product
Amazon Seller Support,Cat151,Products and Services,Product Plan,Dissatisfied with Plan,Dissatisfied with Plan
Amazon Seller Support,Cat152,Products and Services,Service Dissatisfaction,Bad / Poor - Service,Bad / Poor - Service
Amazon Seller Support,Cat153,Products and Services,Service Dissatisfaction,Complicated Service,Complicated Service
Amazon Seller Support,Cat154,Products and Services,Service Dissatisfaction,Improve Service,Improve Service
Amazon Seller Support,Cat155,Products and Services,Service Dissatisfaction,Not Reliable Service,Not Reliable Service
Amazon Seller Support,Cat156,Products and Services,Service Dissatisfaction,Service Not helpful,Service Not helpful
Amazon Seller Support,Cat157,Products and Services,Service Dissatisfaction,Slow Service,Slow Service
Amazon Seller Support,Cat158,Products and Services,Website / App Issue,App Error / Improve App,App Error / Improve App
Amazon Seller Support,Cat159,Products and Services,Website / App Issue,Browser Issue,Browser Issue
Amazon Seller Support,Cat160,Products and Services,Website / App Issue,Difficult To Use / Navigate,Difficult To Use / Navigate
Amazon Seller Support,Cat161,Products and Services,Website / App Issue,Issue with Information on Site,Issue with Information on Site
Amazon Seller Support,Cat162,Products and Services,Website / App Issue,Website Difficult To Understand,Website Difficult To Understand
Amazon Seller Support,Cat163,Products and Services,Website / App Issue,Website Error,Website Error
Amazon Seller Support,Cat164,Process,Listing issues,Error codes,error 5461
Amazon Seller Support,Cat165,Process,Listing issues,Error codes,error 5665
Amazon Seller Support,Cat166,Process,Listing issues,Error message,Brand Protection ASIN Reinstatement
Amazon Seller Support,Cat167,Process,Listing issues,Error message,Suspected IP Violation Contact
Amazon Seller Support,Cat168,Process,Listing issues,Error message,Browse Node related issues
Amazon Seller Support,Cat169,Process,Listing issues,Help page,Help page
Amazon Seller Support,Cat170,Process,Listing issues,PWF sheet,PWF sheet
Amazon Seller Support,Cat171,Process,Pickup issues,no pick up from buyer,no pick up from buyer
Amazon Seller Support,Cat172,Process,Pickup issues,pickup misform,pickup misform
Amazon Seller Support,Cat173,Process,Listing issues,ERP issue,ERP issue
Amazon Seller Support,Cat174,Process,Listing issues,Trade mark,Trade mark
Amazon Seller Support,Cat175,Process,Listing issues,Brand registry issue,Brand registry issue
Amazon Seller Support,Cat176,Process,FBA,fee Reimbursement,fee Reimbursement
Amazon Seller Support,Cat177,Process,FBA,FNSKU,FNSKU
Amazon Seller Support,Cat178,Process,Listing issues,fullfillment center,fullfillment center
Amazon Seller Support,Cat179,Process,Listing issues,live listing,live listing
Amazon Seller Support,Cat180,Process,FBA shipment,FBA,FBA
Amazon Seller Support,Cat181,Process,Listing issues,ungate brand,ungate brand
Amazon Seller Support,Cat182,Process,Listing issues,product code,product code
Amazon Seller Support,Cat183,Process,Listing issues,exhibition permit,exhibition permit
Amazon Seller Support,Cat184,Process,Listing issues,exemption application screen,exemption application screen
Amazon Seller Support,Cat185,Process,Account Management Issue,account health,account health
Amazon Seller Support,Cat186,Process,Account Management Issue,brand authorized seller,brand authorized seller
Amazon Seller Support,Cat187,Process,Account Management Issue,seller central,seller central
Amazon Seller Support,Cat188,Process,Account Management Issue,BETA app,BETA app
Amazon Seller Support,Cat189,Process,Account Management Issue,distribution center,distribution center
Amazon Seller Support,Cat190,Process,Account Management Issue,enroll brand registry,enroll brand registry
Amazon Seller Support,Cat191,Process,Account Management Issue,seller central Account creation,seller central Account creation
Amazon Seller Support,Cat192,Process,Account Management Issue,trademark application number,trademark application number
Amazon Seller Support,Cat193,Process,Account Management Issue,offer not reflecting,offer not reflecting
Amazon Seller Support,Cat194,Process,shipment,Shipment status,Shipment status
Amazon Seller Support,Cat195,Process,shipment,Shipment inquiry,Shipment inquiry
Amazon Seller Support,Cat196,Process,shipment,outgoing shipping,outgoing shipping
Amazon Seller Support,Cat197,Process,shipment,shipping cost,shipping cost
Amazon Seller Support,Cat198,Agent Opportunity,Lack of Ownership,unprofessional answer,unprofessional answer
Amazon Seller Support,Cat199,Agent Opportunity,Lack of Ownership,Irrelevant template reply,Irrelevant template reply
Amazon Seller Support,Cat200,Agent Opportunity,Inefficient,third class service,third class service
Amazon Seller Support,Cat201,Products and Services,Service Dissatisfaction,false information,false information
Amazon Seller Support,Cat202,Process,Listing issues,listings unavailable,listings unavailable
Amazon Seller Support,Cat203,Products and Services,Service Dissatisfaction,completely unrelated,completely unrelated
Amazon Seller Support,Cat204,Process,Account Management Issue,GTIN exemption,GTIN exemption
Amazon Seller Support,Cat205,Agent Opportunity,Lack of Ownership,not helpful,not helpful
Amazon Seller Support,Cat206,Agent Opportunity,Lack of Ownership,pre-written responses,pre-written responses
Amazon Seller Support,Cat207,Agent Opportunity,Lack of Ownership,executive fault,executive fault
Amazon Seller Support,Cat208,Process,Account Management Issue,no SDS sheet,no SDS sheet
Amazon Seller Support,Cat209,Agent Opportunity,Lack of Ownership,no clear answer,no clear answer
Amazon Seller Support,Cat210,Agent Opportunity,Lack of Ownership,zero guidance,zero guidance
Amazon Seller Support,Cat211,Agent Opportunity,Lack of Ownership,No comprehension,No comprehension
Amazon Seller Support,Cat212,Agent Opportunity,Lack of Ownership,incompetent stuff,incompetent stuff
Amazon Seller Support,Cat213,Agent Opportunity,Communication and Soft Skills,language miscommunication,language miscommunication
Amazon Seller Support,Cat214,Agent Opportunity,Lack of Ownership,hung up on,hung up on
Amazon Seller Support,Cat215,Agent Opportunity,Resolution,not resolved,not resolved
Amazon Seller Support,Cat216,Agent Opportunity,Lack of Ownership,copy-pasted text,copy-pasted text
Amazon Seller Support,Cat217,Agent Opportunity,Lack of Ownership,Terrible support,Terrible support
Amazon Seller Support,Cat218,Process,Account Management Issue,switch account,switch account
Amazon Seller Support,Cat219,Process,Listing issues,brand owner,brand owner
Amazon Seller Support,Cat220,Process,Listing issues,Inventory Report,Inventory Report
Amazon Seller Support,Cat221,Process,Listing issues,Inventory Loader,Inventory Loader
Amazon Seller Support,Cat222,Agent Opportunity,Communication and Soft Skills,accents are so thick,accents are so thick
Amazon Seller Support,Cat223,Process,Listing issues,Merchant Fulfilled Inventory,Merchant Fulfilled Inventory
Amazon Seller Support,Cat224,Products and Services,Service Dissatisfaction,absurd,absurd
Amazon Seller Support,Cat225,Process,Listing issues,erase my whole listing,erase my whole listing
Amazon Seller Support,Cat226,Products and Services,Service Dissatisfaction,robotic answers,robotic answers
Amazon Seller Support,Cat227,Process,Listing issues,Brand Authorization,Brand Authorization
Amazon Seller Support,Cat228,Products and Services,Service Dissatisfaction,Totally zero support,Totally zero support
Amazon Seller Support,Cat229,Products and Services,Service Dissatisfaction,Useless response,Useless response
Amazon Seller Support,Cat230,Products and Services,Service Dissatisfaction,completely useless,completely useless
Amazon Seller Support,Cat231,Products and Services,Service Dissatisfaction,Totally useless information,Totally useless information
Amazon Seller Support,Cat232,Process,Listing issues,reject their brand,reject their brand
Amazon Seller Support,Cat233,Products and Services,Service Dissatisfaction,hiring incompetent support,hiring incompetent support
Amazon Seller Support,Cat234,Process,Listing issues,unable to locate SKU,unable to locate SKU
Amazon Seller Support,Cat235,Process,Account Management Issue,business license,business license
Amazon Seller Support,Cat236,Process,Listing issues,permission to sell,permission to sell
Amazon Seller Support,Cat237,Process,Listing issues,brand compliance,brand compliance
Amazon Seller Support,Cat238,Process,shipment,Amazon Shipping program,Amazon Shipping program
Amazon Seller Support,Cat239,Process,shipment,tracking information,tracking information
Amazon Seller Support,Cat240,Process,shipment,Amazon facility,Amazon facility
Amazon Seller Support,Cat241,Agent Opportunity,Resolution,help articles,help articles
Amazon Seller Support,Cat242,Agent Opportunity,Service Dissatisfaction,canned responses,canned responses
Amazon Seller Support,Cat243,Agent Opportunity,Service Dissatisfaction,generic response,generic response
Amazon Seller Support,Cat244,Products and Services,Service Dissatisfaction,waste of time,waste of time
Amazon Seller Support,Cat245,Agent Opportunity,Communication and Soft Skills,hard to understand,hard to understand
Amazon Seller Support,Cat246,Products and Services,Service Dissatisfaction,Going in circles,Going in circles
Amazon Seller Support,Cat247,Agent Opportunity,Knowledge,not knowledgeable,not knowledgeable
Amazon Seller Support,Cat248,Agent Opportunity,Knowledge,Provided misinformation,Provided misinformation
Amazon Seller Support,Cat249,Products and Services,Service Dissatisfaction,Horrible customer support,Horrible customer support
Amazon Seller Support,Cat250,Products and Services,Service Dissatisfaction,NOT HELPFUL,NOT HELPFUL
Amazon Seller Support,Cat251,Products and Services,Service Dissatisfaction,inefficient seller support,inefficient seller support
Amazon Seller Support,Cat252,Products and Services,Service Dissatisfaction,money eating machine,money eating machine
Amazon Seller Support,Cat253,Products and Services,Service Dissatisfaction,exhaustive explanation,exhaustive explanation
Amazon Seller Support,Cat254,Process,Account Management Issue,registration process,registration process
Amazon Seller Support,Cat255,Process,Account Management Issue,blocked account,blocked account
Amazon Seller Support,Cat256,Products and Services,Service Dissatisfaction,Too complicated,Too complicated
Amazon Seller Support,Cat257,Products and Services,Service Dissatisfaction,completely unclear,completely unclear
Amazon Seller Support,Cat258,Products and Services,Service Dissatisfaction,no clear instructions,no clear instructions
Amazon Seller Support,Cat259,Products and Services,Service Dissatisfaction,no progress,no progress
Amazon Seller Support,Cat260,Process,Account Management Issue,HonestSourcer account,HonestSourcer account
Amazon Seller Support,Cat261,Products and Services,Service Dissatisfaction,absolutely no support,absolutely no support
Amazon Seller Support,Cat262,Products and Services,Service Dissatisfaction,answer was irrelevant,answer was irrelevant
Amazon Seller Support,Cat263,Process,Account Management Issue,Merchant token,Merchant token
Amazon Seller Support,Cat264,Process,Account Management Issue,unblock account,unblock account
Amazon Seller Support,Cat265,Agent Opportunity,Communication and Soft Skills,understand English,understand English
Amazon Seller Support,Cat266,Products and Services,Service Dissatisfaction,scamming buyers,scamming buyers
Amazon Seller Support,Cat267,Products and Services,Service Dissatisfaction,Pathetic service,Pathetic service
Amazon Seller Support,Cat268,Process,Listing issues,search algorithm,search algorithm
Amazon Seller Support,Cat269,Process,Listing issues,barcode,barcode
Amazon Seller Support,Cat270,Process,Listing issues,automatically rejecting,automatically rejecting
Amazon Seller Support,Cat271,Agent Opportunity,Communication and Soft Skills,Great communication,Great communication
Amazon Seller Support,Cat272,Process,Account Management Issue,letter of authorization for the logo,letter of authorization for the logo
Amazon Seller Support,Cat273,Process,Listing issues,FBA order,FBA order
Amazon Seller Support,Cat274,Process,shipment,inventory is stuck,inventory is stuck
Amazon Seller Support,Cat275,Products and Services,Service Dissatisfaction,Literally dissatisfied,Literally dissatisfied
Amazon Seller Support,Cat276,Process,Listing issues,not getting listed,not getting listed
Amazon Seller Support,Cat277,Products and Services,Service Dissatisfaction,disagree with the policy,disagree with the policy
Amazon Seller Support,Cat278,Products and Services,Service Dissatisfaction,absolutely no idea,absolutely no idea
Amazon Seller Support,Cat279,Products and Services,Service Dissatisfaction,funds withheld,funds withheld
Amazon Seller Support,Cat280,Products and Services,Service Dissatisfaction,TOTALLY USELESS! SHAME!!,TOTALLY USELESS! SHAME!!
Amazon Seller Support,Cat281,Process,Listing issues,list prices,list prices
Amazon Seller Support,Cat282,Products and Services,Service Dissatisfaction,Complete runaround,Complete runaround
Amazon Seller Support,Cat283,Products and Services,Service Dissatisfaction,TEMPLATED RESPONSES,TEMPLATED RESPONSES
Amazon Seller Support,Cat284,Process,Account Management Issue,specimen cheque,specimen cheque
Amazon Seller Support,Cat285,Products and Services,Service Dissatisfaction,Another idiot,Another idiot
Amazon Seller Support,Cat286,Products and Services,Service Dissatisfaction,extremely demeaning,extremely demeaning
Amazon Seller Support,Cat287,Agent Opportunity,Communication and Soft Skills,question in english,question in english
Amazon Seller Support,Cat288,Positive Feedback,Appreciating Agent,Very happy,Very happy
Amazon Seller Support,Cat289,Products and Services,Service Dissatisfaction,nonsense reply,nonsense reply
Amazon Seller Support,Cat290,Products and Services,Service Dissatisfaction,UNDERPERFORMERS,UNDERPERFORMERS
Amazon Seller Support,Cat291,Products and Services,Service Dissatisfaction,RESOURCE WASTERS,RESOURCE WASTERS
Amazon Seller Support,Cat292,Products and Services,Service Dissatisfaction,appallingly embarassing,appallingly embarassing
Amazon Seller Support,Cat293,Products and Services,Service Dissatisfaction,DYSFUNCTIONAL,DYSFUNCTIONAL
Amazon Seller Support,Cat294,Positive Feedback,Appreciating Agent,fast response,fast response
Amazon Seller Support,Cat295,Process,Listing issues,brand registry program,brand registry program
Amazon Seller Support,Cat296,Process,Listing issues,IIDP,IIDP
Amazon Seller Support,Cat297,Process,Listing issues,merchant issue,merchant issue
Amazon Seller Support,Cat298,Process,shipment,return to warehouse,return to warehouse
Amazon Seller Support,Cat299,Process,shipment,stuck in warehouse,stuck in warehouse
Amazon Seller Support,Cat300,Process,shipment,still in transit,still in transit
Amazon Seller Support,Cat301,Process,Listing issues,EU links,EU links
Amazon Seller Support,Cat302,Process,Listing issues,unable to update the product attribute,unable to update the product attribute
Amazon Seller Support,Cat303,Process,Listing issues,Brand approved,Brand approved
Amazon Seller Support,Cat304,Process,Account Management Issue,Authority Meta Data Tool,Authority Meta Data Tool
Amazon Seller Support,Cat305,Process,Account Management Issue,Bank Account Verification Process,Bank Account Verification Process
Amazon Seller Support,Cat306,Process,Listing issues,error code,ISBN Error Code 8566 8567
Amazon Seller Support,Cat307,Process,Listing issues,PMA,PMA
Amazon Seller Support,Cat308,Process,Listing issues,Bundle ASINs,Bundle ASINs
Amazon Seller Support,Cat309,Process,Account Management Issue,Seller Identity Verification,Seller Identity Verification
Amazon Seller Support,Cat310,Process,Listing issues,auto declining,auto declining
Amazon Seller Support,Cat311,Process,shipment,factory barcode,factory barcode
Amazon Seller Support,Cat312,Products and Services,Service Dissatisfaction,dont use robots,dont use robots
Amazon Seller Support,Cat313,Process,Account Management Issue,charge method,charge method
Amazon Seller Support,Cat314,Process,Account Management Issue,membership process,membership process
Amazon Seller Support,Cat315,Process,Account Management Issue,change location to sell,change location to sell
Amazon Seller Support,Cat316,Process,Listing issues,change my product picture,change my product picture
Amazon Seller Support,Cat317,Process,Account Management Issue,authentication code,authentication code
Amazon Seller Support,Cat318,Process,Listing issues,GENERIC listing,GENERIC listing
Amazon Seller Support,Cat319,Process,Listing issues,BRANDED listing,BRANDED listing
Amazon Seller Support,Cat320,Process,Listing issues,ASIN B0C56TD532,ASIN B0C56TD532
Amazon Seller Support,Cat321,Process,Account Management Issue,seller central,seller central
Amazon Seller Support,Cat322,Process,Listing issues,listing deactivated,listing deactivated
Amazon Seller Support,Cat323,Process,Listing issues,placement fees,placement fees
Amazon Seller Support,Cat324,Agent Opportunity,Resolution,competitive price program,competitive price program
Amazon Seller Support,Cat325,Process,Listing issues,create new listing,create new listing
Amazon Seller Support,Cat326,Refund,Refund process,Refund process,Refund process
ATT ICM Mumbai,Cat1,Agent Opportunity,Communication and Soft Skills,Communication problem,Communication problem
ATT ICM Mumbai,Cat2,Agent Opportunity,Communication and Soft Skills,Dead Air on call,Dead Air on call
ATT ICM Mumbai,Cat3,Agent Opportunity,Communication and Soft Skills,Excessive Talking by Rep,Excessive Talking by Rep
ATT ICM Mumbai,Cat4,Agent Opportunity,Communication and Soft Skills,Hard to Understand Rep,Hard to Understand Rep
ATT ICM Mumbai,Cat5,Agent Opportunity,Communication and Soft Skills,Language Barrier,Language Barrier
