Program,CatNo,L1,L2,L3,L4
Capital One,Cat172,Product/Policy,Product,Product Pricing / Rate Issue,Pricing Issue
Capital One,Cat173,Product/Policy,Product,Purchase issue,Purchase issue
Capital One,Cat174,Technology,App,Dissatisfied with App,App Error / Improve App
Capital One,Cat175,Technology,Telecom Issues,Background Noise on Call,Background Noise on Call
Capital One,Cat176,Technology,Telecom Issues,Call / Chat / Email Not Answered,Call / Chat / Email Not Answered
Capital One,Cat177,Technology,Telecom Issues,Call dropped,Call dropped
Capital One,Cat178,Technology,Telecom Issues,Hearing Issue on call,Hearing Issue on call
Capital One,Cat179,Technology,Telecom Issues,Voice Breaking Issue,Voice Breaking Issue
Capital One,Cat180,Technology,Telecom Issues,Chat Disconnection,Chat Disconnection
Capital One,Cat181,Technology,Telecom Issues,IVR - Automatic answering Issue,Automatic answering Issue
Capital One,Cat182,Technology,Website Issue,Difficult To Use / Navigate,Difficult To Use / Navigate
Capital One,Cat183,Technology,Website Issue,Improve Website,Improve Website
Capital One,Cat184,Technology,Website Issue,Issue with Information on website,Issue with Information on website
Capital One,Cat185,Technology,Website Issue,Website Difficult To Understand,Website Difficult To Understand
Capital One,Cat186,Technology,Website Issue,Website Error,Website Error
Capital One,Cat187,Process,Billing,Past Dues,Customer Going Through Hardship
Capital One,Cat188,Process,Billing,Past Dues,Claims on Vehicles
Capital One,Cat189,Process,Process,Due Date Changes,Due Date Changes
Capital One,Cat190,Product/Policy,Product,Marketing / Promotion / Discount Issue,DNC / DNM
PNC,Cat1,Positive Feedback,Appreciating Agent,Agent Behaviour,Calm Rep
PNC,Cat2,Positive Feedback,Appreciating Agent,Agent Behaviour,Empathetic Rep
PNC,Cat3,Positive Feedback,Appreciating Agent,Agent Behaviour,Excellent Rep
PNC,Cat4,Positive Feedback,Appreciating Agent,Agent Behaviour,Friendly Rep
PNC,Cat5,Positive Feedback,Appreciating Agent,Agent Behaviour,Good Attention by Rep
PNC,Cat6,Positive Feedback,Appreciating Agent,Agent Behaviour,Good Listening Skills
PNC,Cat7,Positive Feedback,Appreciating Agent,Agent Behaviour,Helpful Rep
PNC,Cat8,Positive Feedback,Appreciating Agent,Agent Behaviour,Kind Rep
